latch,threads,run,latency_nanos
naive,1,13,45700
naive,1,14,31200
naive,1,15,26100
naive,1,16,42300
naive,1,17,27800
naive,1,18,32500
naive,1,19,56001
naive,1,20,16900
naive,1,21,35501
naive,1,22,44300
naive,1,23,31400
naive,1,24,27600
naive,1,25,24300
naive,1,26,21800
naive,1,27,20600
naive,1,28,21700
naive,1,29,35500
naive,2,0,28400
naive,2,1,48900
naive,2,2,51701
naive,2,3,50401
naive,2,4,36400
naive,2,5,45000
naive,2,6,36099
naive,2,7,50201
naive,2,8,37899
naive,2,9,47100
naive,2,10,25800
naive,2,11,41600
naive,2,12,37300
naive,2,13,32500
naive,2,14,44100
naive,2,15,48100
naive,2,16,49100
naive,2,17,57099
naive,2,18,36400
naive,2,19,50501
naive,2,20,30000
naive,2,21,54800
naive,2,22,307600
naive,2,23,31400
naive,2,24,32200
naive,2,25,25600
naive,2,26,24800
naive,2,27,43999
naive,2,28,29800
naive,2,29,64700
naive,4,0,45700
naive,4,1,82001
naive,4,2,55800
naive,4,3,57300
naive,4,4,60800
naive,4,5,49000
naive,4,6,65399
naive,4,7,37800
naive,4,8,57500
naive,4,9,70300
naive,4,10,54500
naive,4,11,90400
naive,4,12,51001
naive,4,13,50100
naive,4,14,55799
naive,4,15,72500
naive,4,16,48600
naive,4,17,56100
naive,4,18,56300
naive,4,19,83300
naive,4,20,67099
naive,4,21,54300
naive,4,22,75001
naive,4,23,76800
naive,4,24,39900
naive,4,25,65100
naive,4,26,66900
naive,4,27,53400
naive,4,28,59400
naive,4,29,55300
naive,8,0,114800
naive,8,1,135300
naive,8,2,166799
naive,8,3,145999
naive,8,4,187899
naive,8,5,143200
naive,8,6,114199
naive,8,7,208899
naive,8,8,115600
naive,8,9,141800
naive,8,10,95299
naive,8,11,174500
naive,8,12,163100
naive,8,13,107901
naive,8,14,118700
naive,8,15,142900
naive,8,16,102900
naive,8,17,147299
naive,8,18,133500
naive,8,19,139900
naive,8,20,109400
naive,8,21,82799
naive,8,22,95901
naive,8,23,103700
naive,8,24,153800
naive,8,25,154399
naive,8,26,76700
naive,8,27,169899
naive,8,28,92500
naive,8,29,106201
naive,16,0,365699
naive,16,1,257100
naive,16,2,337500
naive,16,3,258900
naive,16,4,148500
naive,16,5,271000
naive,16,6,211400
naive,16,7,248800
naive,16,8,279699
naive,16,9,318300
naive,16,10,263800
naive,16,11,221900
naive,16,12,161201
naive,16,13,228900
naive,16,14,259801
naive,16,15,243600
naive,16,16,349801
naive,16,17,230399
naive,16,18,185899
naive,16,19,164600
naive,16,20,249300
naive,16,21,381001
naive,16,22,169300
naive,16,23,270400
naive,16,24,608400
naive,16,25,273999
naive,16,26,207400
naive,16,27,194800
naive,16,28,246899
naive,16,29,246600
naive,32,0,958000
naive,32,1,671901
naive,32,2,666300
naive,32,3,594800
naive,32,4,624300
naive,32,5,769900
naive,32,6,539400
naive,32,7,642999
naive,32,8,770800
naive,32,9,1191101
naive,32,10,864801
naive,32,11,748201
naive,32,12,545700
naive,32,13,810600
naive,32,14,614400
naive,32,15,681001
naive,32,16,514800
naive,32,17,1479100
naive,32,18,678300
naive,32,19,695300
naive,32,20,735800
naive,32,21,583100
naive,32,22,637800
naive,32,23,678501
naive,32,24,953000
naive,32,25,697100
naive,32,26,784000
naive,32,27,860701
naive,32,28,748999
naive,32,29,507200
naive,64,0,1274300
naive,64,1,1495900
naive,64,2,2016301
naive,64,3,1717099
naive,64,4,1585101
naive,64,5,1751900
naive,64,6,1845300
naive,64,7,1871201
naive,64,8,1835799
naive,64,9,1769000
naive,64,10,4076801
naive,64,11,1668100
naive,64,12,1898899
naive,64,13,2189601
naive,64,14,1408100
naive,64,15,1956700
naive,64,16,1609100
naive,64,17,1914599
naive,64,18,1134400
naive,64,19,1798200
naive,64,20,1466000
naive,64,21,1887699
naive,64,22,1557099
naive,64,23,1339800
naive,64,24,1914799
naive,64,25,1365000
naive,64,26,1944800
naive,64,27,1694700
naive,64,28,1035401
naive,64,29,1704601
naive,128,0,3312199
naive,128,1,3361099
naive,128,2,4398500
naive,128,3,3473801
naive,128,4,3473101
naive,128,5,2866599
naive,128,6,3359101
naive,128,7,2740399
naive,128,8,3720000
naive,128,9,3402099
naive,128,10,3636499
naive,128,11,3610800
naive,128,12,3406100
naive,128,13,3772200
naive,128,14,3625801
naive,128,15,3579300
naive,128,16,3758700
naive,128,17,6023299
naive,128,18,3350700
naive,128,19,3769500
naive,128,20,3980400
naive,128,21,3668700
naive,128,22,2989800
naive,128,23,3247701
naive,128,24,2918300
naive,128,25,2699000
naive,128,26,2724300
naive,128,27,4002800
naive,128,28,2893900
naive,128,29,4093100
